701424,-,-,-,Algorithm Analysis,-,-,-
701482,Teaching Assistant,JNTU (Kakinada),12,"Operating Systems, Distributed Systems",-,-,-
701482,-,-,-,Data Analytics,-,-,-
701482,-,-,-,Video Processing,-,-,-
701482,-,-,-,Software Engineering,-,-,-
701699,-,-,-,Database Management Systems,-,-,-
701699,-,-,-,"Computer Graphics and Multimedia, Soft Computing",-,-,-
701699,-,-,-,Digital Image Processing,-,-,-
701866,-,-,-,Video Analytics,-,-,-
701866,-,-,-,Data Mining,-,-,-
701866,-,-,-,Image Processing,-,-,-
702190,-,-,-,Embedded Systems,-,-,-
702190,-,-,-,Cloud Computing,-,-,-
702190,-,-,-,Open Source Software,-,-,-
702307,Junior Software Developer,Inspac Solutions Pvt Ltd. Chennai,18,"Cloud Computing, Network Security","Teaching Fellow, Department of Computer Science and Engineering","Madras Institute of Technology, Anna University, Chennai",Aug-2016 to July-2018
702648,-,-,-,"Image Processing, Video Analytics",-,-,-
702648,-,-,-,"Deep Learning, Machine Learning",-,-,-
702814,-,-,-,Video Processing and analytics,-,-,-
702814,-,-,-,Machine and Deep Learning,-,-,-
702814,-,-,-,Biometric Security,-,-,-
702816,Teaching Fellow for the Department of Information Technology,"College Of Engineering,Tindivanam",70,"Deep Learning, Machine Learning",-,-,-
702816,-,-,-,"Cryptography, Network Security",-,-,-
702647,-,-,-,Networking,-,-,-
702647,-,-,-,Information Security,-,-,-
702647,-,-,-,Cloud Computing,-,-,-
702815,Lecturer (Sr. Grade) for the Department Of Computer Science and Engineering,Vickram College of Engineering,6,"Artificial Intelligence, Computer Vision",-,-,-
702815,Assistant Professor for the Department of Information Technology,"Thiagarajar College of Engineering, Madurai",31,Virtual Reality and it's Advancements,-,-,-
