67057,B.E in Computer Science Engineering,1994-1998,Karunya Institute Of Technology,M.E in Computer Science Engineering,1999-2001,"Govt. College of Technology, Coimbatore",Ph.D in Medical Image Analysis,Model Based Segmentation and Bio-Inspired Approaches for the Diagnosis of Pulmonary Disorders from Computed Tomography Images,2010-2018,"Anna University, Chennai"
67035,B.E in Information Technology,1999-2003,Karunya University,M.Tech in Computer Science,2004-2006,Karunya University,Ph.D in Information Security,Trust and Confidentiality enhancing mechanisms for secure cloud data storage,2008-2017,"Anna University, Chennai"
67584,-,-,-,M.E in Computer Science Engineering,2005-2008,Sri Muthukumaran Institute Of Technology,Ph.D in Cloud Security,Security schemes for accessing Personal Health Records in Cloud,2012-2017,Madras Institute Of Technology
69531,B.Tech in Information Technology,2007-2011,Panimalar Engineering College,M.E in Communication and Networking,2011-2013,Madras Institue Of Technology,Ph.D in Pattern Recognition,-,2014-0,"Indian Institute Of Technology, Madras"
700139,-,-,-,M.E in Applied Electronics,1999-2001,Mohamed Sathak Engineering College,Ph.D in Medical Image Processing,Performance Enhancement Schemes for Computer Aided Diagnosis of Lung Disorders Based on Chest CT Analysis,2008-2014,"College Of Engineering, Guindy"
701039,B.E in Computer Science Engineering,2004-2008,"Govt. College Of Engineering, Salem",M.E in Computer Science Engineering,2008-2010,"College Of Engineering, Guindy",Ph.D in,-,-,"Anna University, Chennai"
701424,B.E in Computer Science Engineering,2003-2007,Madras Institute Of Technology,M.Tech in Information Technology,2009-2011,Madras Institue Of Technology,Ph.D in Medical Image Processing,Computer-Aided Diagnosis System for Lung Disorders,2012-2020,Madras Institute Of Technology
701482,B.Tech in Computer Science Engineering,2005-2009,Sri Sai Aditya Institute Of Science and Technology,M.Tech in Computer Science Engineering,2009-2011,JNTU University Kakinada,Ph.D in ,-,-,-
701699,B.Tech in Information Technology,2006-2010,Prince Shri Venkateshwara Padmavathy Engineering College,M.E in Multimedia Technology,2010-2012,"College Of Engineering, Guindy",Ph.D in Satellite Image Processing,-,2015-0,"College Of Engineering, Guindy"
701866,B.E in Electronics and Communication Engineering,1995-1999,"Govt. College of Technology, Coimbatore",M.E in Computer Science,2002-2004,"College Of Engineering, Guindy",-,-,-,-
702190,B.Tech in Information Technology,2008-2012,Sri Manakula Vinayagar Engineering College,M.Tech in Computer Science Engineering,2013-2015,Manakula Vinayagar Institute Of Technology,-,-,-,-
1,B.E in Computer Science,2006-2010,"Anand Institute Of Higher Technology, Chennai",M.E in Computer Science,2010-2012,Anand Institute Of Higher Technology,Ph.D in,Privacy Preservation and Data Security in sensor cloud tecnologies.,-,"Anna University, Chennai"
2,B.E in Computer Science and Engineering,2013-2017,St.Peter's College of Engineering and Technology,M.E in Multimedia Technology,2017-2019,"College Of Engineering, Guindy",-,-,-,-
3,B.Tech in Computer Science and Engineering,2009-2013,RVS College Of Engineering and Technology,M.Tech in Computer Science and Engineering,2013-2015,Manakula Vinayagar Institute Of Technology,Ph.D in Information and Communication Engineering,-,-,Madras Institute Of Technology
4,B.Tech in Information Technology,2007-2011,"Mahendra Institute Of Technology, Namakal",M.Tech in Information Technology,2011-2013,"Anna University Regional Centre, Coimbatore",-,-,-,-
5,B.E in Computer Science and Engineering,2008-2012,VPMM Engineering College for women,M.E in Computer Science and Engineering,2012-2014,Sri Sakthi Institute of Engineering andTechnology,-,-,-,-
6,B.E in Computer Science and Engineering,2006-2010,Vins Christian College of Engineering,M.E in Computer Science and Engineering,2010-2012,"Thiagarajar College of Engineering, Madurai",Ph.D in,-,2017-0,"Anna University, Chennai"
